"","sample_type","esv_id","kpcofgs","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"64","unground owl pellet","ESV_025327","Eukaryota, Ascomycota, Dothideomycetes, Pleosporales, , , ","UCSB-IZC00044827",69,98.4,5
"65","unground owl pellet","ESV_025328","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",61,97.1,11
"66","unground owl pellet","ESV_025329","Eukaryota, Ascomycota, , , , , ","UCSB-IZC00044827",60,86.8,37
"67","unground owl pellet","ESV_025330","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",60,99,11
"68","unground owl pellet","ESV_025331","Eukaryota, Arthropoda, , , , , ","UCSB-IZC00044827",53,85.7,28
"69","unground owl pellet","ESV_025332","Eukaryota, , , , , , ","UCSB-IZC00044827",52,99.2,3
"70","unground owl pellet","ESV_025333","Eukaryota, Basidiomycota, Tremellomycetes, Tremellales, , , ","UCSB-IZC00044827",45,98.4,2
"71","unground owl pellet","ESV_025334","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",39,98.1,3
"72","unground owl pellet","ESV_025335","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",37,99,11
"73","unground owl pellet","ESV_025336","Eukaryota, Ascomycota, Dothideomycetes, Pleosporales, , , ","UCSB-IZC00044827",35,98.4,5
"74","unground owl pellet","ESV_025337","Eukaryota, Basidiomycota, Tremellomycetes, Tremellales, Bulleribasidiaceae, Vishniacozyma, psychrotolerans","UCSB-IZC00044827",34,99.2,1
"75","unground owl pellet","ESV_025338","Eukaryota, Basidiomycota, Exobasidiomycetes, Entylomatales, unk_family, Tilletiopsis, ","UCSB-IZC00044827",30,97.7,2
"76","unground owl pellet","ESV_025339","Bacteria, Proteobacteria, Alphaproteobacteria, , , , ","UCSB-IZC00044827",28,99,32
"77","unground owl pellet","ESV_025340","Eukaryota, Arthropoda, , , , , ","UCSB-IZC00044827",27,85.7,28
"78","unground owl pellet","ESV_025341","Eukaryota, Ascomycota, Dothideomycetes, Pleosporales, , , ","UCSB-IZC00044827",27,98.4,5
"79","unground owl pellet","ESV_025342","Bacteria, Proteobacteria, Alphaproteobacteria, , , , ","UCSB-IZC00044827",23,99,55
"80","unground owl pellet","ESV_025343","Eukaryota, Ascomycota, Dothideomycetes, Pleosporales, , , ","UCSB-IZC00044827",23,97.7,7
"81","unground owl pellet","ESV_025344","Eukaryota, Basidiomycota, Tremellomycetes, Tremellales, Bulleribasidiaceae, Vishniacozyma, carnescens","UCSB-IZC00044827",22,99.2,1
"82","unground owl pellet","ESV_025345","Eukaryota, Basidiomycota, Tremellomycetes, Tremellales, Bulleribasidiaceae, Vishniacozyma, psychrotolerans","UCSB-IZC00044827",21,99.2,1
"83","unground owl pellet","ESV_025346","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",21,99,9
"84","unground owl pellet","ESV_025347","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",18,99,4
"85","unground owl pellet","ESV_025348","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",17,98.1,2
"86","unground owl pellet","ESV_025349","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",16,99,12
"87","unground owl pellet","ESV_025350","Eukaryota, Basidiomycota, Tremellomycetes, Tremellales, Bulleribasidiaceae, Vishniacozyma, psychrotolerans","UCSB-IZC00044827",16,99.2,1
"88","unground owl pellet","ESV_025351","Eukaryota, Phragmoplastophyta, Embryophyta, Magnoliophyta, Magnoliophyta, Magnoliophyta, ","UCSB-IZC00044827",15,99.2,54
"89","unground owl pellet","ESV_025352","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",14,99,12
"90","unground owl pellet","ESV_025353","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",14,99,12
"91","unground owl pellet","ESV_025354","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",13,98.1,3
"92","unground owl pellet","ESV_025355","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","UCSB-IZC00044827",13,99,30
"93","unground owl pellet","ESV_025356","Bacteria, Proteobacteria, Alphaproteobacteria, , , , ","UCSB-IZC00044827",12,99,58
"94","unground owl pellet","ESV_025357","Bacteria, Proteobacteria, Alphaproteobacteria, , , , ","UCSB-IZC00044827",11,99,57
"95","unground owl pellet","ESV_025358","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",11,98.1,2
"96","unground owl pellet","ESV_025359","Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Thiotrichaceae, Leucothrix, ","UCSB-IZC00044827",9,100,1
"97","unground owl pellet","ESV_025360","Eukaryota, Basidiomycota, Tremellomycetes, Tremellales, Bulleribasidiaceae, Vishniacozyma, carnescens","UCSB-IZC00044827",9,99.2,1
"98","unground owl pellet","ESV_025361","Bacteria, Proteobacteria, Alphaproteobacteria, , , , ","UCSB-IZC00044827",8,99,58
"99","unground owl pellet","ESV_025362","Eukaryota, Basidiomycota, Tremellomycetes, Tremellales, Bulleribasidiaceae, Vishniacozyma, carnescens","UCSB-IZC00044827",8,99.2,1
"100","unground owl pellet","ESV_025363","Bacteria, Bdellovibrionota, Bdellovibrionia, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, bacteriovorus","UCSB-IZC00044827",8,97.1,1
"101","unground owl pellet","ESV_025364","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",8,99,9
"102","unground owl pellet","ESV_025365","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",8,96.1,12
"103","ground owl pellet","ESV_014042","Eukaryota, Chordata, Actinopteri, Gobiiformes, Gobiidae, Cabillus, Cabillus tongarevae","UCSB-IZC00044866",191,99.7,1
