site,kpcofgs,samples_sent,matches,percent_match,common_name
NVBR,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus",11,630,97.38181818181819,
NVBR,"Eukaryota, Bacillariophyta",2,35,97.15,
NVBR,"Eukaryota, Bacillariophyta, Bacillariophyceae",1,13,93.4,"Raphid, pennate diatoms"
NVBR,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora",2,37,96.4,
NVBR,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales",1,10,99.4,
NVBR,"Eukaryota, Haptista, Haptophyta, Isochrysidales",1,11,90.4,
NVBR,"Eukaryota, Haptista, Haptophyta, Isochrysidales, Isochrysidaceae",1,11,97.3,
NVBR,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",8,2526,96.325,
NVP2,"Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix",11,476,90.61818181818182,
NVP2,"Eukaryota, Chlorophyta, Trebouxiophyceae, Chlorellales, Chlorellaceae",3,76,93.1,
NVP2,"Eukaryota, unk_phylum, Cryptophyceae",10,3278,95.17,cryptomonads
NVP2,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",3,67,97,
NVP2,"Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus",4,64,96.175,
NVP2,"Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema",2,58,96.4,
NVP4,"Bacteria, Cyanobacteria",7,185,91.78571428571429,blue-green algae
NVP4,"Bacteria, Cyanobacteria, unk_class, Chroococcales, Aphanothecaceae, Gloeothece",2,291,93.25,
NVP4,"Bacteria, Cyanobacteria, unk_class, Chroococcales, Aphanothecaceae, Gloeothece, Gloeothece verrucosa",1,9,93.4,
NVP4,"Bacteria, Cyanobacteria, unk_class, Nostocales",3,67,95.8,
NVP4,"Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae",3,748,98.5,
NVP4,"Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc",1,12,100,
NVP4,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae",2,106,99.25,
NVP4,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales",8,484,97.7875,
NVP4,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora",1,154,98.8,
NVP4,"Eukaryota, Chlorophyta, Chlorophyceae",1,21,97.3,
